Model,Language,SpecLanguage,PromptStyle,Run,Status,CyclesCompleted
phi:latest,ja,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
deepscaler:1.5b,en,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
falcon3:3b,en,pseudocode,hyper,1,"FAIL: Cycle 3 failed.",2
smollm2:1.7b,en,minilang,fewshot,1,"FAIL: Cycle 3 failed.",2
tinyllama:1.1b,ja,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
llama3.2:3b,ja,minilang,hyper,1,"FAIL: Cycle 10 failed.",9
gemma3:270m,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
falcon3:1b,en,pseudocode,fewshot,1,"FAIL: Cycle 2 failed.",1
phi3:mini,ja,minilang,hyper,3,"FAIL: Cycle 1 failed.",0
qwen:0.5b,ja,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
gemma3:270m,ja,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
phi:latest,en,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
llama3.2:3b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
qwen2:1.5b,ja,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
deepscaler:1.5b,en,s,expression,2,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
falcon3:3b,ja,pseudocode,hyper,1,"SUCCESS: All cycles completed.",10
falcon3:1b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
smollm2:1.7b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
qwen:1.8b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
phi3:mini,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
qwen:0.5b,en,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
gemma3:4b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
smollm2:1.7b,ja,minilang,hyper,3,"FAIL: Cycle 2 failed.",1
