Model,Language,SpecLanguage,PromptStyle,TestCase,Run,Status,CyclesCompleted
gemma3-4b,ja,minilang,hyper,guided,19,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,pseudocode,fewshot,fizzbuzz,2,"FAIL: Cycle 6 failed.",5
gemma3-4b,en,minilang,fewshot,fizzbuzz,9,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,guided,20,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,guided,26,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,fewshot,fizzbuzz,8,"FAIL: Cycle 4 failed.",3
llama3.2-3b,en,pseudocode,fewshot,fizzbuzz,5,"FAIL: Cycle 3 failed.",2
gemma3-4b,en,minilang,hyper,guided,18,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,hyper,guided,30,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,guided,27,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,guided,21,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,guided,28,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,5,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,fewshot,fizzbuzz,1,"FAIL: Cycle 7 failed.",6
gemma3-4b,en,minilang,fewshot,fizzbuzz,7,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,guided,11,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,guided,17,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,2,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,guided,29,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,guided,16,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,hyper,guided,10,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,minilang,fewshot,fizzbuzz,6,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,hyper,guided,1,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,hyper,guided,27,"FAIL: Cycle 6 failed.",5
falcon3-3b,en,pseudocode,fewshot,fizzbuzz,3,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,hyper,guided,21,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,s,expression,hyper,3,"FAIL: Cycle 2 failed.",1
llama3.2-3b,en,minilang,fewshot,fizzbuzz,23,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,hyper,7,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,hyper,guided,18,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,minilang,hyper,guided,2,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,fewshot,fizzbuzz,24,"FAIL: Cycle 5 failed.",4
llama3.2-3b,ja,s,expression,hyper,4,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,minilang,hyper,guided,6,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,fewshot,fizzbuzz,4,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,hyper,guided,20,"FAIL: Cycle 7 failed.",6
llama3.2-3b,ja,minilang,hyper,guided,26,"FAIL: Cycle 2 failed.",1
